Location,Confirmed,Deaths,Recovered,Population
AK,0,0,0,731545
AL,0,0,0,4903185
AR,0,0,0,3017825
AZ,9,0,1,7278717
CA,247,3,1,39512223
CO,49,0,0,5758736
CT,6,0,0,3565287
DC,10,0,0,705749
DE,4,0,0,973764
FL,30,2,0,21477737
GA,31,1,0,10617423
HI,2,0,0,1415872
IA,16,0,0,3155070
ID,0,0,0,1792065
IL,25,0,2,12671821
IN,12,0,0,6732219
KS,1,0,0,2913314
KY,10,0,0,4467673
LA,14,0,0,4648794
MA,108,0,0,6949503
MD,13,0,0,6045680
ME,0,0,0,1344212
MI,12,0,0,9986857
MN,9,0,0,5639632
MO,1,0,0,6137428
MS,1,0,0,2976149
MT,0,0,0,1068778
NC,15,0,0,10488084
ND,0,0,0,762062
NE,23,0,0,1934408
NH,6,0,0,1359711
NJ,29,1,0,8882190
NM,5,0,0,2096829
NV,10,0,0,3080156
NY,328,0,0,19453561
OH,5,0,0,11689100
OK,4,0,0,3956971
OR,23,0,0,4217737
PA,22,0,0,12801989
RI,5,0,0,1059361
SC,12,0,0,5148714
SD,8,1,0,884659
TN,9,0,0,6833174
TX,36,0,0,28995881
UT,3,0,0,3205958
VA,17,0,0,8535519
VT,1,0,0,623989
WA,416,31,1,7614893
WI,8,0,1,5822434
WV,0,0,0,1787147
WY,0,0,0,578759
